GBIR6967-15;Emberiza impetuani impetuani
KBPBU724-06;Saxicola rubicola
BOM151-07;Auriparus flaviceps
BOM484-07;Euphonia hirundinacea
GBIR1653-09;Saxicola torquatus
GBIR1654-09;Saxicola torquatus
GBIR3484-13;Euphonia violacea
KBAR247-06;Euphonia cyanocephala
YIO199-10;Certhia familiaris
YIO200-10;Certhia familiaris
YIO287-10;Emberiza elegans
YIO348-10;Troglodytes troglodytes
YIO359-10;Emberiza elegans
YIO449-10;Emberiza yessoensis
YIO495-10;Certhia familiaris
YIO496-10;Emberiza elegans
KBPBR005-06;Luscinia luscinia
KBPBR010-06;Luscinia luscinia
KBPBR014-06;Luscinia luscinia
KBPBR016-06;Luscinia luscinia
KBPBR037-06;Luscinia megarhynchos
KBPBR039-06;Luscinia megarhynchos
KBPBR045-06;Luscinia luscinia
KBPBR062-06;Luscinia luscinia
KBPBR064-06;Luscinia megarhynchos
KBPZM027-06;Luscinia luscinia
YIO112-10;Upupa epops
YIO220-10;Muscicapa dauurica
YIO361-10;Muscicapa dauurica
KBPBR078-07;Muscicapa striata
KBPBR097-07;Muscicapa striata
KBPBR113-07;Muscicapa striata
KBPBR128-07;Muscicapa striata
KBPBR245-07;Muscicapa striata
KBPBR268-07;Muscicapa striata
YIO306-10;Muscicapa sibirica
YIO604-17;Muscicapa sibirica
GBIR532-07;Eumyias thalassinus
GBIR4691-13;Luscinia megarhynchos
GBIR4692-13;Luscinia megarhynchos
GBIR4693-13;Luscinia luscinia
GBIR4694-13;Luscinia megarhynchos
GBIR4695-13;Luscinia megarhynchos
GBIR4696-13;Luscinia megarhynchos
GBIR4697-13;Luscinia megarhynchos
GBIR4698-13;Luscinia luscinia
GBIR4699-13;Luscinia megarhynchos
GBIR4700-13;Luscinia megarhynchos
GBIR4701-13;Luscinia megarhynchos
GBIR4702-13;Luscinia megarhynchos
GBIR4703-13;Luscinia megarhynchos
GBIR4704-13;Luscinia megarhynchos
GBIR4705-13;Luscinia megarhynchos
GBIR4706-13;Luscinia luscinia
GBIR4707-13;Luscinia luscinia
GBIR4708-13;Luscinia luscinia
GBIR4709-13;Luscinia megarhynchos
GBIR4710-13;Luscinia megarhynchos
GBIR4711-13;Luscinia megarhynchos
GBIR4712-13;Luscinia megarhynchos
GBIR4713-13;Luscinia megarhynchos
GBIR4714-13;Luscinia megarhynchos
GBIR4715-13;Luscinia megarhynchos
GBIR4716-13;Luscinia megarhynchos
GBIR4717-13;Luscinia megarhynchos
GBIR4718-13;Luscinia luscinia
GBIR4719-13;Luscinia megarhynchos
GBIR4720-13;Luscinia megarhynchos
GBIR4721-13;Luscinia megarhynchos
GBIR4722-13;Luscinia megarhynchos
GBIR4723-13;Luscinia megarhynchos
GBIR520-07;Luscinia megarhynchos
GBIR521-07;Luscinia luscinia
GBIR525-07;Chelidorhynx hypoxanthus
BBIND322-08;Eumyias indigo
BBIND349-08;Eumyias indigo
BBIND531-08;Eumyias indigo
BON039-06;Luscinia luscinia
BON040-06;Luscinia luscinia
BON276-07;Muscicapa striata
BROMB357-06;Cistothorus palustris
BROMB637-07;Tauraco schalowi
BSBNA481-06;Cistothorus palustris
BSBNA482-06;Cistothorus palustris
BSBNA483-06;Cistothorus palustris
CDANS017-05;Calcarius ornatus
GBIR1412-09;Muscicapa striata
NLAVE434-11;Muscicapa striata
ROMC275-07;Muscicapa striata
ROMC276-07;Muscicapa striata
TZBNA612-03;Cistothorus palustris
KAARG136-07;Campylorhamphus trochilirostris
KAARG624-07;Campylorhamphus trochilirostris
KPARG140-08;Campylorhamphus trochilirostris
BABNA060-06;Dumetella carolinensis
BABNA061-06;Dumetella carolinensis
BBIND034-08;Brachypteryx leucophris
BBIND040-08;Brachypteryx leucophris
BBIND087-08;Brachypteryx leucophris
BBIND252-08;Brachypteryx leucophris
BBIND281-08;Brachypteryx leucophris
BBIND365-08;Brachypteryx leucophris
BBIND366-08;Brachypteryx leucophris
BBIND551-08;Brachypteryx montana
BBIND565-08;Brachypteryx leucophris
BBIND572-08;Brachypteryx leucophris
BBIND658-08;Brachypteryx leucophris
BBIND857-08;Brachypteryx leucophris
BJNSM236-10;Muscicapa sibirica
BJNSM643-10;Muscicapa dauurica
BON474-07;Luscinia svecica
BON475-07;Luscinia svecica
BSBNA466-06;Dumetella carolinensis
BSBNA467-06;Dumetella carolinensis
BSBNA468-06;Dumetella carolinensis
GBIR10471-19;Upupa epops
GBIR12359-19;Trogon personatus
GBIR12378-19;Upupa epops
GBIR5120-13;Dumetella carolinensis
GBIR5121-13;Dumetella carolinensis
GBIR5122-13;Cinclocerthia ruficauda
GBIR5123-13;Cinclocerthia gutturalis
GBIR530-07;Muscicapa ferruginea
GBIR531-07;Muscicapa sibirica
GBIR714-08;Ramphocinclus brachyurus
GBIR727-08;Margarops fuscatus
GBIR729-08;Dumetella carolinensis
GBIR9212-19;Upupa epops
GBMIN133920-17;Upupa epops
GBMNA18676-19;Phoeniculus purpureus
GBMTG5944-16;Upupa epops
KBARG340-07;Trogon rufus
KBNA220-04;Dumetella carolinensis
KBNA367-04;Dumetella carolinensis
KBPBR017-06;Luscinia svecica
KBPBR029-06;Luscinia svecica
KBPBR043-06;Luscinia svecica
KBPBR044-06;Luscinia svecica
KBPBR047-06;Luscinia svecica
KBPBR069-07;Muscicapa dauurica
KBPBR070-07;Muscicapa sibirica
KBPBR141-07;Muscicapa dauurica
KBPBR161-07;Muscicapa griseisticta
KBPBR193-07;Muscicapa sibirica
KBPBR196-07;Muscicapa griseisticta
KBPBR216-07;Muscicapa sibirica
KBPBR225-07;Muscicapa dauurica
KBPBR265-07;Muscicapa sibirica
KBPBR379-07;Muscicapa sibirica
KBPBR383-07;Muscicapa sibirica
KBPBR403-07;Muscicapa dauurica
KBPBR456-07;Tichodroma muraria
KBPBR502-07;Muscicapa dauurica
KBPBR525-07;Muscicapa griseisticta
KBPBU491-06;Upupa epops
KBPBU492-06;Upupa epops
KBPBU493-06;Upupa epops
KBPBU494-06;Upupa epops
KBPBU495-06;Upupa epops
KBPZM183-07;Muscicapa dauurica
KBPZM222-07;Muscicapa dauurica
KBPZM228-07;Muscicapa dauurica
KBPZM237-07;Luscinia svecica
KBPZM238-07;Luscinia svecica
KPARG238-08;Trogon rufus
KPARG239-08;Trogon rufus
MNCN791-09;Trogon rufus
NLAVE218-11;Luscinia svecica
SWEBI007-11;Upupa epops
TZBNA315-03;Dumetella carolinensis
BOI006-08;Bucanetes githagineus
ACOI011-17;Stercorarius maccormicki
ACOI012-17;Stercorarius maccormicki
ACOI013-17;Stercorarius maccormicki
ACOI014-17;Stercorarius maccormicki
ACOI015-17;Stercorarius maccormicki
ACOI016-17;Stercorarius maccormicki
ACOI017-17;Stercorarius maccormicki
BON164-07;Stercorarius pomarinus
BON240-07;Saxicola rubetra
BON241-07;Saxicola rubetra
BROM571-07;Stercorarius antarcticus
BROM574-07;Stercorarius pomarinus
BROM616-07;Stercorarius maccormicki
BROM848-07;Stercorarius antarcticus
GBIR0212-06;Stercorarius skua
GBIR5872-15;Stercorarius pomarinus
GBMNA11113-19;Stercorarius maccormicki
GBMNA11410-19;Bucanetes mongolicus
GBMTG3628-16;Bucanetes mongolicus
GBMTG4453-16;Stercorarius maccormicki
KAARG003-07;Stercorarius antarcticus
KBAR562-06;Tachyphonus rufus
KBPBK065-08;Bucanetes mongolicus
KBPBK114-08;Bucanetes mongolicus
KBPBK115-08;Bucanetes mongolicus
KBPBK192-08;Bucanetes mongolicus
KBPBU715-06;Saxicola rubetra
KBPBU716-06;Saxicola rubetra
KBPBU717-06;Saxicola rubetra
KBPBU718-06;Saxicola rubetra
KBPBU719-06;Saxicola rubetra
KBPBU720-06;Saxicola insignis
KBPBU721-06;Saxicola insignis
NLAVE017-11;Stercorarius pomarinus
NLAVE460-11;Saxicola rubetra
NLAVE471-11;Stercorarius skua
NLAVE481-11;Saxicola rubetra
NZCOI170-08;Stercorarius antarcticus
NZCOI172-08;Stercorarius antarcticus
NZCOI173-08;Stercorarius antarcticus
NZCOI175-08;Stercorarius antarcticus
NZCOI176-08;Stercorarius antarcticus
NZCOI179-08;Stercorarius antarcticus
NZCOI245-08;Stercorarius maccormicki
NZCOI246-08;Stercorarius maccormicki
NZCOI247-08;Stercorarius maccormicki
NZCOI249-08;Stercorarius maccormicki
GBMNA18677-19;Rhinopomastus cyanomelas
BOI157-08;Irania gutturalis
BOI158-08;Irania gutturalis
BOI159-08;Irania gutturalis
GBIR5115-13;Melanoptila glabrirostris
GBIR5118-13;Margarops fuscatus
GBIR724-08;Melanoptila glabrirostris
KBPBR234-07;Sitta europaea
MNCN350-08;Microcerculus bambla
BOI110-08;Emberiza caesia
BOI112-08;Emberiza caesia
BON099-06;Emberiza hortulana
BON272-07;Emberiza hortulana
KBPBR091-07;Emberiza hortulana
NLAVE465-11;Emberiza caesia
BJNSM133-10;Saxicola maurus
BJNSM163-10;Emberiza fucata
BJNSM219-10;Saxicola maurus
BJNSM315-10;Saxicola maurus
BJNSM447-10;Saxicola maurus
BJNSM469-10;Saxicola maurus
BJNSM489-10;Saxicola maurus
BJNSM519-10;Saxicola maurus
BJNSM531-10;Saxicola maurus
BOI075-08;Saxicola maurus
BOI137-08;Saxicola maurus
BON093-06;Stercorarius parasiticus
BON307-07;Stercorarius parasiticus
BROM184-06;Stercorarius longicaudus
BROM185-06;Stercorarius longicaudus
BROM192-06;Stercorarius parasiticus
BROM269-06;Stercorarius parasiticus
BROM658-07;Stercorarius longicaudus
BROMB428-06;Sitta canadensis
CMCPB049-10;Brachypteryx montana
GBIR11103-19;Emberiza fucata
GBIR3485-13;Euphonia violacea
GBIR5114-13;Mimus longicaudatus
GBIR5724-15;Stercorarius longicaudus
GBIR721-08;Mimus longicaudatus
GBMNA11429-19;Emberiza fucata
KAARG138-07;Cyanocompsa brissonii
KAARG597-07;Euphonia chlorotica
KBAR241-06;Cyanocompsa brissonii
KBAR242-06;Cyanocompsa brissonii
KBAR334-06;Cyanocompsa brissonii
KBAR766-06;Cyanocompsa brissonii
KBAR792-06;Cyanocompsa brissonii
KBAR819-06;Euphonia chlorotica
KBAR856-06;Tachyphonus rufus
KBARG027-07;Cyanocompsa brissonii
KBARG090-07;Cyanocompsa brissonii
KBARG312-07;Euphonia chlorotica
KBPBR162-07;Emberiza fucata
KBPBR184-07;Emberiza fucata
KBPBR370-07;Emberiza fucata
KBPBR483-07;Emberiza fucata
KBPBU294-06;Stercorarius longicaudus
KBPBU295-06;Stercorarius longicaudus
KBPBU299-06;Stercorarius parasiticus
KBPBU723-06;Saxicola maurus
KBPBU725-06;Saxicola maurus
KBPBU726-06;Saxicola maurus
KBPZM134-07;Saxicola maurus
KBPZM191-07;Saxicola maurus
KBPZM212-07;Saxicola maurus
KFIP039-07;Saxicola torquatus
KPARG036-08;Cyanocompsa brissonii
KPARG122-08;Cyanocompsa brissonii
KPARG259-08;Euphonia violacea
KPARG270-08;Euphonia violacea
KPARG271-08;Euphonia violacea
KPARG479-08;Tachyphonus coronatus
KPARG498-08;Tachyphonus coronatus
LBARG214-10;Cyanocompsa brissonii
LBARG335-10;Cyanocompsa brissonii
LBARG557-11;Cyanocompsa brissonii
LGEMA104-07;Euphonia chlorotica
LGEMA111-07;Cyanocompsa brissonii
NLAVE035-11;Stercorarius parasiticus
NLAVE058-11;Stercorarius parasiticus
NLAVE328-11;Stercorarius parasiticus
NLAVE329-11;Stercorarius longicaudus
NLAVE472-11;Stercorarius longicaudus
SWEBI015-11;Saxicola torquatus
YIO237-10;Saxicola maurus
YIO238-10;Saxicola maurus
YIO503-10;Saxicola maurus
YIO556-12;Emberiza fucata
YIO809-19;Emberiza fucata
GBMNA11422-19;Cardinalis cardinalis
GBMTG3861-16;Cardinalis cardinalis
KBAR244-06;Diglossa sittoides
KBAR246-06;Diglossa sittoides
KBAR344-06;Diglossa sittoides
KBNA121-04;Cardinalis cardinalis
KBOL015-08;Diglossa cyanea
KBOL024-08;Diglossa cyanea
KBOL043-08;Diglossa sittoides
KBOL082-08;Hemispingus melanotis
YIO147-10;Tetrastes bonasia
YIO148-10;Tetrastes bonasia
GBIR7861-19;Cardinalis cardinalis
GBIR7865-19;Pheucticus melanocephalus
BOM464-07;Troglodytes aedon
BROMB361-06;Cardinalis cardinalis
SIBHI038-11;Cardinalis cardinalis
BOM543-07;Lepidocolaptes affinis
GBIR4940-13;Lepidocolaptes affinis
GBIR4941-13;Lepidocolaptes affinis
GBIR4942-13;Lepidocolaptes affinis
GBIR4943-13;Lepidocolaptes affinis
GBIR4944-13;Lepidocolaptes affinis
GBIR4925-13;Lepidocolaptes lacrymiger
GBIR4926-13;Lepidocolaptes lacrymiger
GBIR4927-13;Lepidocolaptes lacrymiger
GBIR4928-13;Lepidocolaptes lacrymiger
GBIR4929-13;Lepidocolaptes lacrymiger
GBIR4930-13;Lepidocolaptes lacrymiger
GBIR4936-13;Lepidocolaptes souleyetii
GBIR4938-13;Lepidocolaptes souleyetii
GBIR4939-13;Lepidocolaptes souleyetii
GBIR4945-13;Lepidocolaptes leucogaster
GBIR4946-13;Lepidocolaptes leucogaster
GBIR4947-13;Lepidocolaptes leucogaster
KBAR162-06;Pyrrhomyias cinnamomeus
KBOL025-08;Pyrrhomyias cinnamomeus
KBOL063-08;Pyrrhomyias cinnamomeus
LGEMA128-07;Campylorhamphus falcularius
LGEMA170-07;Lepidocolaptes albolineatus
BOM1381-08;Psaltriparus minimus
GBMNA18415-19;Buceros rhinoceros silvestris
GBMNA18674-19;Buceros rhinoceros
AWCB005-09;Zonotrichia capensis
AWCB007-09;Zonotrichia capensis
AWCB013-09;Zonotrichia capensis
BABNA367-07;Passerella iliaca
BABNA368-07;Passerella iliaca
BJNSM055-08;Tetrastes bonasia
BJNSM472-10;Tetrastes bonasia
BJNSM474-10;Tetrastes bonasia
BJNSM666-10;Tetrastes bonasia
BJNSM764-11;Tetrastes bonasia
BOM162-07;Meleagris ocellata
BON023-06;Tetrastes bonasia
BONSC016-08;Calandrella brachydactyla
BROM421-06;Irediparra gallinacea
BROMB520-07;Apaloderma narina
BROMB624-07;Zonotrichia capensis
BROMB625-07;Zonotrichia capensis
BROMB627-07;Zonotrichia capensis
BSBNA252-06;Passerella iliaca
BSBNA253-06;Passerella iliaca
BSBNA254-06;Passerella iliaca
BSBNA255-06;Passerella iliaca
BSBNA256-06;Passerella iliaca
BSBNA464-06;Passerella iliaca
CDANS007-05;Ammodramus maritimus
CDANS008-05;Ammodramus maritimus
CMCPB055-10;Buceros hydrocorax
GBIR10388-19;Rhizothera longirostris
GBIR10391-19;Tetrastes bonasia
GBIR10940-19;Apaloderma narina
GBIR11872-19;Meleagris gallopavo
GBIR1631-09;Meleagris gallopavo
GBIR2185-10;Alectoris rufa
GBIR2851-12;Alectoris melanocephala
GBIR2852-12;Alectoris melanocephala
GBIR2853-12;Alectoris melanocephala
GBIR3921-13;Aegithalos concinnus
GBIR3923-13;Aegithalos concinnus
GBIR3925-13;Aegithalos concinnus
GBIR4309-13;Zonotrichia capensis
GBIR4310-13;Zonotrichia capensis
GBIR4311-13;Zonotrichia capensis
GBIR4312-13;Zonotrichia capensis
GBIR4313-13;Zonotrichia capensis
GBIR4314-13;Zonotrichia capensis
GBIR4315-13;Zonotrichia capensis
GBIR4316-13;Zonotrichia capensis
GBIR4317-13;Zonotrichia capensis
GBIR4318-13;Zonotrichia capensis
GBIR4319-13;Zonotrichia capensis
GBIR4320-13;Zonotrichia capensis
GBIR4321-13;Zonotrichia capensis
GBIR4322-13;Zonotrichia capensis
GBIR4323-13;Zonotrichia capensis
GBIR4324-13;Zonotrichia capensis
GBIR4325-13;Zonotrichia capensis
GBIR4332-13;Zonotrichia capensis
GBIR4335-13;Zonotrichia capensis
GBIR4336-13;Zonotrichia capensis
GBIR4338-13;Zonotrichia capensis
GBIR444-07;Tetrastes bonasia
GBIR698-08;Meleagris gallopavo
GBIR7646-19;Meleagris gallopavo
GBIR7647-19;Meleagris gallopavo
GBIR9667-19;Francolinus pintadeanus
GBIR9668-19;Meleagris ocellata
GBMNA11206-19;Meleagris gallopavo
GBMNA11213-19;Bambusicola fytchii
GBMNA11216-19;Francolinus pintadeanus
GBMNA11258-19;Tetrastes bonasia
GBMNA18552-19;Buceros bicornis
GBMNA18628-19;Buceros bicornis
GBMTG1097-16;Meleagris gallopavo
GBMTG1272-16;Francolinus pintadeanus
GBMTG2723-16;Tetrastes bonasia
GBMTG2907-16;Bambusicola fytchii
GTENK019-11;Meleagris gallopavo
KAARG262-07;Zonotrichia capensis
KAARG553-07;Zonotrichia capensis
KAARG565-07;Zonotrichia capensis
KBAR294-06;Zonotrichia capensis
KBAR308-06;Zonotrichia capensis
KBAR312-06;Zonotrichia capensis
KBAR548-06;Ammodramus humeralis
KBAR549-06;Ammodramus humeralis
KBAR609-06;Zonotrichia capensis
KBAR795-06;Zonotrichia capensis
KBARG232-07;Zonotrichia capensis
KBBI003-07;Tetrastes bonasia
KBNA023-04;Passerella iliaca
KBPBU109-06;Tetrastes bonasia
KBPBU110-06;Tetrastes bonasia
KBPBU111-06;Tetrastes bonasia
KBPBU112-06;Tetrastes bonasia
KBPBU113-06;Tetrastes bonasia
KBPBU527-06;Calandrella brachydactyla
KKBNA328-05;Passerella iliaca
KPARG001-08;Zonotrichia capensis
KPARG011-08;Zonotrichia capensis
KPARG013-08;Zonotrichia capensis
KPARG015-08;Zonotrichia capensis
KPARG017-08;Zonotrichia capensis
KPARG018-08;Zonotrichia capensis
KPARG038-08;Zonotrichia capensis
KPARG039-08;Zonotrichia capensis
KPARG050-08;Zonotrichia capensis
KPARG061-08;Zonotrichia capensis
KPARG113-08;Zonotrichia capensis
KPARG114-08;Ammodramus humeralis
KPARG168-08;Zonotrichia capensis
KPARG193-08;Zonotrichia capensis
KPARG207-08;Zonotrichia capensis
KPARG228-08;Zonotrichia capensis
KPARG235-08;Zonotrichia capensis
NLAVE015-11;Calandrella brachydactyla
NLAVE173-11;Francolinus francolinus
NLAVE174-11;Francolinus francolinus
NLAVE321-11;Francolinus francolinus
ROMC199-07;Buceros bicornis
SIBHI017-11;Francolinus francolinus
BROMB619-07;Aphrodroma brevirostris
BROMB696-07;Calonectris diomedea
BROMB701-07;Aphrodroma brevirostris
BROMB709-07;Calonectris diomedea
CMCPB030-10;Dicaeum ignipectus
GBIR1243-09;Calonectris diomedea
GBIR5310-13;Emberiza bruniceps
GBMNA11587-19;Aphrodroma brevirostris
GBMTG649-16;Aphrodroma brevirostris
KAARG080-07;Polioptila dumicola
KAARG198-07;Polioptila dumicola
KAARG202-07;Polioptila dumicola
KAARG208-07;Hymenops perspicillatus
KAARG607-07;Polioptila dumicola
KBAR117-06;Hymenops perspicillatus
KBAR118-06;Hymenops perspicillatus
KBAR309-06;Hymenops perspicillatus
KBAR801-06;Hymenops perspicillatus
KBAR825-06;Polioptila dumicola
KBAR826-06;Polioptila dumicola
KBAR828-06;Polioptila dumicola
KBPBK045-08;Emberiza pallasi
KBPBK097-08;Emberiza pallasi
KBPBK117-08;Emberiza pallasi
KBPBK174-08;Emberiza pallasi
KBPBK190-08;Emberiza pallasi
KBPBK214-08;Emberiza melanocephala
KBPBK262-08;Emberiza pallasi
KBPBR151-07;Emberiza bruniceps
KBPBR244-07;Emberiza bruniceps
KBPBR248-07;Emberiza bruniceps
NLAVE059-11;Emberiza melanocephala
NLAVE074-11;Calonectris diomedea
NLAVE412-11;Calonectris diomedea
YIOB085-15;Emberiza pallasi
BOM312-07;Sittasomus griseicapillus
BOM826-07;Sittasomus griseicapillus
KBARG099-07;Sittasomus griseicapillus
KPARG246-08;Sittasomus griseicapillus
KPARG247-08;Sittasomus griseicapillus
KPARG267-08;Sittasomus griseicapillus
KPARG478-08;Sittasomus griseicapillus
KPARG483-08;Sittasomus griseicapillus
KPARG539-08;Sittasomus griseicapillus
LGEMA541-08;Sittasomus griseicapillus
KAARG293-07;Sittasomus griseicapillus
KAARG556-07;Sittasomus griseicapillus
KBAR084-06;Sittasomus griseicapillus
KBAR085-06;Sittasomus griseicapillus
KBAR086-06;Sittasomus griseicapillus
KPARG133-08;Sittasomus griseicapillus
KPARG188-08;Sittasomus griseicapillus
BJNSM756-11;Aegithalos caudatus
BJNSM757-11;Aegithalos caudatus
BON199-07;Aegithalos caudatus
BON200-07;Aegithalos caudatus
GBIR4194-13;Aegithalos caudatus
GBIR4195-13;Aegithalos caudatus
GBIR4196-13;Aegithalos caudatus
GBIR440-07;Aegithalos caudatus
GBIR5539-15;Aegithalos glaucogularis vinaceus
GBIR6014-15;Aegithalos caudatus
GBMNA11297-19;Aegithalos glaucogularis
GBMTG3520-16;Aegithalos glaucogularis
KBBI109-07;Aegithalos caudatus
KBPZM021-06;Aegithalos caudatus
KBPZM025-06;Aegithalos caudatus
KBPZM200-07;Aegithalos caudatus
KBPZM201-07;Aegithalos caudatus
KBPZM202-07;Aegithalos caudatus
KBPZM204-07;Aegithalos caudatus
NLAVE146-11;Aegithalos caudatus
NLAVE353-11;Aegithalos caudatus
YIO193-10;Aegithalos caudatus
YIO250-10;Aegithalos caudatus
YIO793-19;Aegithalos caudatus
YIO794-19;Aegithalos caudatus
BBIND1101-08;Symposiachrus guttula
KKBNA609-05;Psaltriparus minimus
YIO179-10;Aegithalos caudatus
AWCB051-09;Phylloscartes ventralis
KBAR161-06;Phylloscartes ventralis
KBARG037-07;Phylloscartes ventralis
LGEMA511-08;Phylloscartes ventralis
BROMB580-07;Corythaixoides concolor
BROMB644-07;Corythaixoides concolor
BROMB646-07;Corythaixoides concolor
GBIR11204-19;Emberiza godlewskii yunnanensis
BJNSM073-08;Emberiza spodocephala
BJNSM081-08;Emberiza spodocephala
BJNSM119-10;Emberiza spodocephala
BJNSM389-10;Scolopax rusticola
BJNSM390-10;Scolopax rusticola
BJNSM494-10;Emberiza spodocephala
BJNSM589-10;Emberiza spodocephala
BJNSM698-11;Scolopax rusticola
BJNSM742-11;Emberiza spodocephala
BOM119-07;Cardinalis cardinalis
BOM1380-08;Uropsila leucogastra
BOM252-07;Uropsila leucogastra
BON258-07;Emberiza schoeniclus
BON379-07;Scolopax rusticola
BROM205-06;Scolopax rusticola
BROMB168-06;Phaenicophilus palmarum
BROMB697-07;Bulweria bulwerii
GBIR13211-19;Cardinalis cardinalis
GBIR1401-09;Scolopax rusticola
GBIR1627-09;Scolopax rusticola
GBIR5239-13;Muscicapa striata
GBIR6981-15;Emberiza spodocephala personata
GBIR6982-15;Emberiza spodocephala sordida
GBIR6983-15;Emberiza spodocephala spodocephala
GBMNA11108-19;Scolopax rusticola
GBMNA11220-19;Ptilopachus petrosus
GBMNA11414-19;Himatione sanguinea
GBMNA11435-19;Emberiza spodocephala
GBMTG4150-16;Himatione sanguinea
GBMTG4409-16;Ptilopachus petrosus
GBMTG4439-16;Scolopax rusticola
GBMTG4655-16;Emberiza spodocephala
KBAR229-06;Atlapetes citrinellus
KBAR230-06;Atlapetes citrinellus
KBAR341-06;Atlapetes citrinellus
KBBI026-07;Scolopax rusticola
KBBI027-07;Scolopax rusticola
KBBI073-07;Scolopax rusticola
KBBI134-07;Scolopax rusticola
KBOL017-08;Atlapetes rufinucha
KBOL031-08;Atlapetes rufinucha
KBOL032-08;Atlapetes rufinucha
KBOL038-08;Atlapetes rufinucha
KBOL044-08;Atlapetes rufinucha
KBOL070-08;Atlapetes rufinucha
KBPBK005-08;Emberiza schoeniclus
KBPBK019-08;Emberiza schoeniclus
KBPBK028-08;Emberiza schoeniclus
KBPBK080-08;Emberiza spodocephala
KBPBK101-08;Emberiza schoeniclus
KBPBK107-08;Emberiza schoeniclus
KBPBK134-08;Emberiza spodocephala
KBPBK136-08;Emberiza spodocephala
KBPBK151-08;Emberiza spodocephala
KBPBK165-08;Emberiza schoeniclus
KBPBK168-08;Emberiza schoeniclus
KBPBK185-08;Emberiza schoeniclus
KBPBK200-08;Emberiza schoeniclus
KBPBK227-08;Emberiza spodocephala
KBPBK247-08;Emberiza spodocephala
KBPBK248-08;Emberiza schoeniclus
KBPBK273-08;Emberiza spodocephala
KBPBK298-08;Emberiza schoeniclus
KBPBK327-08;Emberiza schoeniclus
KBPBK354-08;Emberiza spodocephala
KBPBU285-06;Scolopax rusticola
KBPBU286-06;Scolopax rusticola
KBPBU287-06;Scolopax rusticola
KBPBU288-06;Scolopax rusticola
KBPBU289-06;Scolopax rusticola
KBPZM022-06;Emberiza schoeniclus
KBPZM149-07;Emberiza spodocephala
KBPZM162-07;Emberiza schoeniclus
KBPZM163-07;Emberiza schoeniclus
KBPZM176-07;Emberiza spodocephala
KBPZM205-07;Emberiza spodocephala
KBPZM206-07;Emberiza spodocephala
KBPZM233-07;Emberiza schoeniclus
KBPZM234-07;Emberiza schoeniclus
KFIP004-07;Emberiza spodocephala
KFIP009-07;Emberiza spodocephala
KFIP010-07;Emberiza spodocephala
KFIP011-07;Emberiza spodocephala
KFIP015-07;Emberiza spodocephala
NLAVE394-11;Emberiza schoeniclus
ROMC099-07;Crinifer piscator
YIO049-10;Scolopax rusticola
YIO063-10;Scolopax rusticola
YIO204-10;Emberiza schoeniclus
YIO205-10;Emberiza schoeniclus
YIO206-10;Emberiza spodocephala
YIO282-10;Emberiza spodocephala
YIO403-10;Bulweria bulwerii
YIO404-10;Bulweria bulwerii
YIO441-10;Scolopax rusticola
