seqId,synonymousDiff,NonSynonymousDiff
GBMNA18538-19|Gorilla beringei|COI-5P|MH177751,62,3
GBMNA18465-19|Gorilla beringei|COI-5P|MH177678,62,3
GBMNA18435-19|Gorilla beringei|COI-5P|MH177648,62,3
GBMNA18447-19|Gorilla beringei|COI-5P|MH177660,62,3
GBMNA18539-19|Gorilla beringei|COI-5P|MH177752,62,3
GBMNA18513-19|Gorilla beringei|COI-5P|MH177726,62,3
GBMNA18460-19|Gorilla beringei|COI-5P|MH177673,62,3
GBMNA18480-19|Gorilla beringei|COI-5P|MH177693,62,3
GBMNA18540-19|Gorilla beringei|COI-5P|MH177753,62,3
GBMNA18500-19|Gorilla beringei|COI-5P|MH177713,62,3
GBMNA18504-19|Gorilla beringei|COI-5P|MH177717,62,3
GBMNA18534-19|Gorilla beringei|COI-5P|MH177747,62,3
GBMNA18517-19|Gorilla beringei|COI-5P|MH177730,62,3
GBMNA18440-19|Gorilla beringei|COI-5P|MH177653,62,3
GBMNA18499-19|Gorilla beringei|COI-5P|MH177712,62,3
GBMNA18472-19|Gorilla beringei|COI-5P|MH177685,62,3
GBMNA18455-19|Gorilla beringei|COI-5P|MH177668,62,3
GBMNA18509-19|Gorilla beringei|COI-5P|MH177722,62,3
GBMNA18461-19|Gorilla beringei|COI-5P|MH177674,62,3
GBMNA18512-19|Gorilla beringei|COI-5P|MH177725,62,3
GBMNA18518-19|Gorilla beringei|COI-5P|MH177731,62,3
GBMNA18448-19|Gorilla beringei|COI-5P|MH177661,62,3
GBMNA18526-19|Gorilla beringei|COI-5P|MH177739,62,3
GBMNA18442-19|Gorilla beringei|COI-5P|MH177655,62,3
GBMNA18445-19|Gorilla beringei|COI-5P|MH177658,62,3
GBMNA18463-19|Gorilla beringei|COI-5P|MH177676,62,3
GBMNA18437-19|Gorilla beringei|COI-5P|MH177650,62,3
GBMNA16929-19|Gorilla beringei graueri|COI-5P|KF914213,62,3
GBMNA18502-19|Gorilla beringei|COI-5P|MH177715,62,3
GBMNA18454-19|Gorilla beringei|COI-5P|MH177667,62,3
GBMNA18471-19|Gorilla beringei|COI-5P|MH177684,62,3
GBMNA18476-19|Gorilla beringei|COI-5P|MH177689,62,3
GBMNA18452-19|Gorilla beringei|COI-5P|MH177665,62,3
GBMNA18488-19|Gorilla beringei|COI-5P|MH177701,62,3
GBMNA18469-19|Gorilla beringei|COI-5P|MH177682,62,3
GBMNA18462-19|Gorilla beringei|COI-5P|MH177675,62,3
GBMNA18478-19|Gorilla beringei|COI-5P|MH177691,62,3
GBMNA18493-19|Gorilla beringei|COI-5P|MH177706,62,3
GBMNA18458-19|Gorilla beringei|COI-5P|MH177671,62,3
GBMNA18530-19|Gorilla beringei|COI-5P|MH177743,62,3
GBMNA18514-19|Gorilla beringei|COI-5P|MH177727,62,3
GBMNA18492-19|Gorilla beringei|COI-5P|MH177705,62,3
GBMNA18528-19|Gorilla beringei|COI-5P|MH177741,62,3
GBMNA18511-19|Gorilla beringei|COI-5P|MH177724,62,3
GBMNA18477-19|Gorilla beringei|COI-5P|MH177690,62,3
GBMNA18443-19|Gorilla beringei|COI-5P|MH177656,62,3
GBMNA18417-19|Gorilla beringei|COI-5P|MH177630,63,3
GBMNA13230-19|Gorilla beringei|COI-5P|MH177628,63,3
GBMNA18422-19|Gorilla beringei|COI-5P|MH177635,63,3
GBMNA18420-19|Gorilla beringei|COI-5P|MH177633,63,3
GBMNA18419-19|Gorilla beringei|COI-5P|MH177632,63,3
GBMNA18433-19|Gorilla beringei|COI-5P|MH177646,63,3
GBMNA18430-19|Gorilla beringei|COI-5P|MH177643,63,3
GBMNA18426-19|Gorilla beringei|COI-5P|MH177639,63,3
GBMNA18428-19|Gorilla beringei|COI-5P|MH177641,63,3
GBMNA18429-19|Gorilla beringei|COI-5P|MH177642,63,3
GBMNA18427-19|Gorilla beringei|COI-5P|MH177640,63,3
GBMNA18432-19|Gorilla beringei|COI-5P|MH177645,63,3
GBMNA18424-19|Gorilla beringei|COI-5P|MH177637,63,3
GBMNA18431-19|Gorilla beringei|COI-5P|MH177644,63,3
GBMNA18423-19|Gorilla beringei|COI-5P|MH177636,63,3
GBMNA18416-19|Gorilla beringei|COI-5P|MH177629,63,3
GBMNA18421-19|Gorilla beringei|COI-5P|MH177634,63,3
GBMNA18425-19|Gorilla beringei|COI-5P|MH177638,63,3
GBMNA18418-19|Gorilla beringei|COI-5P|MH177631,63,3
GBMNA18575-19|Gorilla beringei|COI-5P|NC_037853,63,3
GBMA17259-19|Gorilla gorilla gorilla|COI-5P|KU353722,68,2
GBMA17256-19|Gorilla gorilla gorilla|COI-5P|KU353719,68,2
GBMA17257-19|Gorilla gorilla gorilla|COI-5P|KU353720,66,2
GBMNA16921-19|Gorilla gorilla gorilla|COI-5P|KF914214,66,2
GBMA17258-19|Gorilla gorilla gorilla|COI-5P|KU353721,66,2
GBMNA13229-19|Gorilla gorilla|COI-5P|D38114,66,2
GBMTG077-16|Gorilla gorilla|COI-5P|NC_001645,66,2
GBMNA16627-19|Gorilla gorilla gorilla|COI-5P|X93347,66,2
GBMTG1341-16|Gorilla gorilla gorilla|COI-5P|NC_011120,66,2
GTENK014-11|Gorilla gorilla|COI-5P,66,2
GBMA17420-19|Sapajus apella|COI-5P|JN380205,117,12
GBMTG2010-16|Sapajus apella|COI-5P|NC_016666,117,12
GBMNA13267-19|Saimiri oerstedii citrinellus|COI-5P|HQ644335,98,18
GBMTG3655-16|Saimiri oerstedii citrinellus|COI-5P|NC_023211,98,18
GBMA17437-19|Saimiri sciureus|COI-5P|HQ005491,99,18
GBMNA13266-19|Saimiri sciureus|COI-5P|AB371091,102,18
GBMTG1624-16|Saimiri sciureus|COI-5P|NC_012775,102,18
GBMNA13265-19|Saimiri boliviensis|COI-5P|KC959987,102,18
GBMTG4023-16|Saimiri boliviensis|COI-5P|NC_021966,102,18
GBMA17381-19|Saimiri boliviensis boliviensis|COI-5P|HQ644339,102,18
GBMTG2642-16|Saimiri boliviensis boliviensis|COI-5P|NC_018096,102,18
GBMNA13263-19|Cebus albifrons|COI-5P|AJ309866,100,17
GBMTG170-16|Cebus albifrons|COI-5P|NC_002763,100,17
GBMTG3656-16|Sapajus xanthosternos|COI-5P|NC_021961,101,16
GBMNA13264-19|Sapajus xanthosternos|COI-5P|KC757410,101,16
GBMTG3961-16|Leontopithecus rosalia|COI-5P|NC_021952,118,16
GBMNA13260-19|Leontopithecus rosalia|COI-5P|KC757399,118,16
GBMNA18576-19|Leontopithecus chrysopygus|COI-5P|NC_037878,122,16
GBMNA13261-19|Leontopithecus chrysopygus|COI-5P|MG933868,122,16
GBMNA13271-19|Cacajao calvus|COI-5P|KC959985,118,14
GBMTG3831-16|Cacajao calvus|COI-5P|NC_021967,118,14
GBMNA13272-19|Chiropotes israelita|COI-5P|KC592392,114,14
GBMTG4733-16|Chiropotes israelita|COI-5P|NC_024629,114,14
GBMTG3909-16|Chiropotes albinasus|COI-5P|NC_021946,117,13
GBMNA13273-19|Chiropotes albinasus|COI-5P|KC757393,117,13
GBMTG4843-16|Callimico goeldii|COI-5P|NC_024628,101,15
GBMNA13254-19|Callimico goeldii|COI-5P|KC592391,101,15
GBMTG3641-16|Callithrix pygmaea|COI-5P|NC_021942,102,16
GBMNA13259-19|Callithrix pygmaea|COI-5P|KC757389,102,16
GBMA17417-19|Callithrix penicillata|COI-5P|NC_030788,95,14
GBMNA13258-19|Callithrix penicillata|COI-5P|KR817256,95,14
GBMTG3843-16|Callithrix jacchus|COI-5P|NC_025586,93,14
GBMNA13256-19|Callithrix jacchus|COI-5P|KM588314,93,14
GBMA17416-19|Callithrix kuhlii|COI-5P|KR817257,96,14
GBMNA13257-19|Callithrix kuhlii|COI-5P|KR869628,95,14
GBMTG3841-16|Callithrix geoffroyi|COI-5P|NC_021941,95,14
GBMNA13255-19|Callithrix geoffroyi|COI-5P|KC757388,95,14
GBMTG4842-16|Cheracebus lugens|COI-5P|NC_024630,98,14
GBMNA13268-19|Cheracebus lugens|COI-5P|KC592393,98,14
GBMTG3836-16|Plecturocebus cupreus|COI-5P|NC_021965,110,14
GBMNA13269-19|Plecturocebus cupreus|COI-5P|KC959986,110,14
GBMA17404-19|Aotus trivirgatus|COI-5P|HQ005479,107,13
GBMA17406-19|Aotus trivirgatus|COI-5P|HQ005481,106,13
GBMA17405-19|Aotus trivirgatus|COI-5P|HQ005480,106,13
GBMTG3753-16|Aotus azarae|COI-5P|NC_021939,110,13
GBMNA13247-19|Aotus azarae azarai|COI-5P|JN161099,110,13
GBMNA13248-19|Aotus azarae|COI-5P|KC757385,110,13
GBMTG2646-16|Aotus azarae azarai|COI-5P|NC_018115,110,13
GBMA17403-19|Aotus nigriceps|COI-5P|HQ005478,111,13
GBMA17402-19|Aotus nigriceps|COI-5P|HQ005477,113,13
GBMTG2647-16|Aotus nancymaae|COI-5P|NC_018116,107,14
GBMA17408-19|Aotus vociferans|COI-5P|HQ005483,105,13
GBMA17407-19|Aotus vociferans|COI-5P|HQ005482,106,13
GBMA17396-19|Aotus lemurinus|COI-5P|HQ005486,113,13
GBMA17395-19|Aotus griseimembra|COI-5P|HQ005485,110,13
GBMTG3033-16|Aotus lemurinus|COI-5P|NC_019799,111,13
GBMNA13249-19|Aotus lemurinus|COI-5P|FJ785421,111,13
GBMA17394-19|Aotus griseimembra|COI-5P|HQ005484,111,13
GBMA17243-19|Alouatta guariba clamitans|COI-5P|KY202428,106,14
GBMTG5283-16|Alouatta seniculus|COI-5P|NC_027825,111,14
GBMNA13251-19|Alouatta seniculus|COI-5P|HQ644333,111,14
GBMTG3953-16|Lagothrix lagotricha|COI-5P|NC_021951,102,15
GBMNA13253-19|Lagothrix lagotricha|COI-5P|KC757398,102,15
GBMTG3032-16|Ateles belzebuth|COI-5P|NC_019800,104,13
GBMNA13252-19|Ateles belzebuth|COI-5P|FJ785422,104,13
GBMA17302-19|Pan troglodytes troglodytes|COI-5P|HM068572,61,0
GBMA17301-19|Pan troglodytes troglodytes|COI-5P|HM068570,60,0
GBMA17347-19|Pan troglodytes troglodytes|COI-5P|KX211952,60,0
GBMA17328-19|Pan troglodytes troglodytes|COI-5P|JN191214,60,0
GBMA17320-19|Pan troglodytes troglodytes|COI-5P|JN191206,60,1
GBMA17327-19|Pan troglodytes troglodytes|COI-5P|JN191213,60,1
GBMA17291-19|Pan troglodytes schweinfurthii|COI-5P|KU308536,60,0
GBMA17278-19|Pan troglodytes schweinfurthii|COI-5P|HM068571,62,0
GBMA17287-19|Pan troglodytes schweinfurthii|COI-5P|JN191186,61,0
GBMA17282-19|Pan troglodytes schweinfurthii|COI-5P|HM068591,61,0
GBMA17299-19|Pan troglodytes schweinfurthii|COI-5P|KX211949,61,0
GBMA17280-19|Pan troglodytes schweinfurthii|COI-5P|HM068581,61,0
GBMA17284-19|Pan troglodytes schweinfurthii|COI-5P|JN191183,63,0
GBMA17283-19|Pan troglodytes schweinfurthii|COI-5P|HM068592,62,0
GBMA17300-19|Pan troglodytes schweinfurthii|COI-5P|KX211950,62,0
GBMA17281-19|Pan troglodytes schweinfurthii|COI-5P|HM068588,62,0
GBMA17290-19|Pan troglodytes schweinfurthii|COI-5P|KU308535,62,0
GBMA17294-19|Pan troglodytes schweinfurthii|COI-5P|KU353718,62,0
GBMA17285-19|Pan troglodytes schweinfurthii|COI-5P|JN191184,62,0
GBMA17293-19|Pan troglodytes schweinfurthii|COI-5P|KU308538,62,0
GBMA17295-19|Pan troglodytes schweinfurthii|COI-5P|KX211945,62,0
GBMA17297-19|Pan troglodytes schweinfurthii|COI-5P|KX211947,62,0
GBMA17289-19|Pan troglodytes schweinfurthii|COI-5P|KU308534,62,0
GBMA17296-19|Pan troglodytes schweinfurthii|COI-5P|KX211946,62,0
GBMA17288-19|Pan troglodytes schweinfurthii|COI-5P|JN191187,62,0
GBMA17286-19|Pan troglodytes schweinfurthii|COI-5P|JN191185,62,0
GBMA17298-19|Pan troglodytes schweinfurthii|COI-5P|KX211948,62,0
GBMA17292-19|Pan troglodytes schweinfurthii|COI-5P|KU308537,63,0
GBMA17303-19|Pan troglodytes troglodytes|COI-5P|HM068573,62,0
GBMA17349-19|Pan troglodytes troglodytes|COI-5P|KX211959,61,0
GBMA17338-19|Pan troglodytes troglodytes|COI-5P|JN191224,61,0
GBMA17330-19|Pan troglodytes troglodytes|COI-5P|JN191216,62,0
GBMA17308-19|Pan troglodytes troglodytes|COI-5P|HM068582,63,0
GBMA17336-19|Pan troglodytes troglodytes|COI-5P|JN191222,62,0
GBMA17307-19|Pan troglodytes troglodytes|COI-5P|HM068580,60,0
GBMA17318-19|Pan troglodytes troglodytes|COI-5P|JN191204,62,0
GBMA17335-19|Pan troglodytes troglodytes|COI-5P|JN191221,61,0
GBMA17334-19|Pan troglodytes troglodytes|COI-5P|JN191220,61,0
GBMA17329-19|Pan troglodytes troglodytes|COI-5P|JN191215,60,0
GBMA17337-19|Pan troglodytes troglodytes|COI-5P|JN191223,60,0
GBMA17339-19|Pan troglodytes troglodytes|COI-5P|KU308539,60,0
GBMA17331-19|Pan troglodytes troglodytes|COI-5P|JN191217,60,0
GBMA17333-19|Pan troglodytes troglodytes|COI-5P|JN191219,62,0
GBMA17343-19|Pan troglodytes troglodytes|COI-5P|KU308543,60,0
GBMA17316-19|Pan troglodytes troglodytes|COI-5P|JN191202,60,0
GBMA17322-19|Pan troglodytes troglodytes|COI-5P|JN191208,61,1
GBMA17326-19|Pan troglodytes troglodytes|COI-5P|JN191212,62,0
GBMA17346-19|Pan troglodytes troglodytes|COI-5P|KX211951,61,0
GBMA17315-19|Pan troglodytes troglodytes|COI-5P|JN191201,61,0
GBMA17342-19|Pan troglodytes troglodytes|COI-5P|KU308542,61,0
GBMA17314-19|Pan troglodytes troglodytes|COI-5P|JN191200,61,0
GBMA17321-19|Pan troglodytes troglodytes|COI-5P|JN191207,61,0
GBMA17324-19|Pan troglodytes troglodytes|COI-5P|JN191210,61,0
GBMA17317-19|Pan troglodytes troglodytes|COI-5P|JN191203,61,0
GBMA17305-19|Pan troglodytes troglodytes|COI-5P|HM068578,61,0
GBMA17319-19|Pan troglodytes troglodytes|COI-5P|JN191205,61,0
GBMA14091-15|Pan troglodytes troglodytes|COI-5P|KP317203,61,0
GBMA17348-19|Pan troglodytes troglodytes|COI-5P|KX211953,61,0
GBMA17340-19|Pan troglodytes troglodytes|COI-5P|KU308540,61,0
GBMA17323-19|Pan troglodytes troglodytes|COI-5P|JN191209,61,0
GBMA17325-19|Pan troglodytes troglodytes|COI-5P|JN191211,61,0
GBMA17332-19|Pan troglodytes troglodytes|COI-5P|JN191218,61,0
GBMA17312-19|Pan troglodytes troglodytes|COI-5P|HM068590,61,0
GBMA17345-19|Pan troglodytes troglodytes|COI-5P|KU353717,61,0
GBMA17313-19|Pan troglodytes troglodytes|COI-5P|JN191199,61,0
GBMA17311-19|Pan troglodytes troglodytes|COI-5P|HM068587,61,0
GBMA17306-19|Pan troglodytes troglodytes|COI-5P|HM068579,61,0
GBMA17341-19|Pan troglodytes troglodytes|COI-5P|KU308541,60,0
GBMA17304-19|Pan troglodytes troglodytes|COI-5P|HM068576,61,0
GBMA17344-19|Pan troglodytes troglodytes|COI-5P|KU353711,61,0
GBMA17309-19|Pan troglodytes troglodytes|COI-5P|HM068583,60,0
GBMA17310-19|Pan troglodytes troglodytes|COI-5P|HM068584,60,0
GBHS36848-19|Homo sapiens|COI-5P|MF381507,1,0
GBHS33426-19|Homo sapiens|COI-5P|MF055815,1,0
GBHS33994-19|Homo sapiens|COI-5P|MF056383,1,0
GBHS35137-19|Homo sapiens|COI-5P|MF057526,1,0
GBHS33939-19|Homo sapiens|COI-5P|MF056328,1,0
GBHS36818-19|Homo sapiens|COI-5P|MF381477,1,0
GBMA17436-19|Saimiri sciureus|COI-5P|HQ005490,100,18
GBHS35926-19|Homo sapiens|COI-5P|MF058315,0,0
GBHS33592-19|Homo sapiens|COI-5P|MF055981,1,0
GBMA18099-19|Xenothrix mcgregori|COI-5P|MK073942,83,21
GBMA17990-19|Hoolock leuconedys|COI-5P|KY250062,74,2
GBMTG3157-16|Nomascus gabriellae|COI-5P|NC_018753,97,2
GBMNA13245-19|Nomascus gabriellae|COI-5P|HQ622806,97,2
GBMTG1671-16|Nomascus siki|COI-5P|NC_014051,91,2
GBMNA13244-19|Nomascus siki|COI-5P|AB504751,91,2
GBMNA13243-19|Nomascus leucogenys|COI-5P|KC757404,91,2
GBMTG3986-16|Nomascus leucogenys|COI-5P|NC_021957,91,2
GBMA18001-19|Hoolock tianxing|COI-5P|KY250070,87,2
GBMA17999-19|Hoolock leuconedys x Hoolock tianxing|COI-5P|KY250072,89,1
GBMNA13239-19|Hoolock hoolock|COI-5P|KY250073,101,3
GBMA17989-19|Hoolock hoolock|COI-5P|NC_033885,101,3
GBMNA13238-19|Hoolock tianxing|COI-5P|KY250069,100,2
GBMNA13237-19|Hoolock leuconedys|COI-5P|KY250064,100,2
GBMA18002-19|Hoolock tianxing|COI-5P|NC_033884,100,2
GBMA18000-19|Hoolock leuconedys x Hoolock tianxing|COI-5P|NC_033883,100,2
GBMA17995-19|Hoolock leuconedys|COI-5P|KY250068,99,2
GBMA17997-19|Hoolock leuconedys|COI-5P|KY250074,99,2
GBMA17991-19|Hoolock leuconedys|COI-5P|KY250063,99,2
GBMNA13236-19|Hoolock leuconedys|COI-5P|KY250061,99,2
GBMA17998-19|Hoolock leuconedys|COI-5P|NC_033882,99,2
GBMA17994-19|Hoolock leuconedys|COI-5P|KY250067,99,2
GBMA17993-19|Hoolock leuconedys|COI-5P|KY250066,99,2
GBMA17996-19|Hoolock leuconedys|COI-5P|KY250071,98,2
GBMA17992-19|Hoolock leuconedys|COI-5P|KY250065,99,2
GBMNA13246-19|Symphalangus syndactylus|COI-5P|AB504750,99,2
GBMTG1673-16|Symphalangus syndactylus|COI-5P|NC_014047,99,2
GBMNA13241-19|Hylobates pileatus|COI-5P|AB504749,96,2
GBMTG1675-16|Hylobates pileatus|COI-5P|NC_014045,96,2
GBMNA13242-19|Hylobates lar|COI-5P|X99256,98,2
GBMTG118-16|Hylobates lar|COI-5P|NC_002082,98,2
GBMTG1677-16|Hylobates agilis|COI-5P|NC_014042,93,4
GBMNA13240-19|Hylobates agilis|COI-5P|AB504748,93,4
GBMNA16776-19|Pan paniscus|COI-5P|GU189661,66,1
GBMTG076-16|Pan paniscus|COI-5P|NC_001644,66,1
GBMA17824-19|Pan paniscus|COI-5P|JN191190,66,1
GBMA17842-19|Pan paniscus|COI-5P|KX211934,66,1
GBMA17833-19|Pan paniscus|COI-5P|KU353708,66,0
GBMA17826-19|Pan paniscus|COI-5P|JN191192,66,0
GBMNA16787-19|Pan paniscus|COI-5P|GU189672,66,0
GBMA17838-19|Pan paniscus|COI-5P|KX211930,66,0
GBMA17827-19|Pan paniscus|COI-5P|JN191193,66,0
GBMNA16783-19|Pan paniscus|COI-5P|GU189668,66,0
GBMA17846-19|Pan paniscus|COI-5P|KX211938,66,0
GBMNA16788-19|Pan paniscus|COI-5P|GU189673,66,0
GBMNA16774-19|Pan paniscus|COI-5P|GU189659,66,0
GBMA17832-19|Pan paniscus|COI-5P|JN191198,66,0
GBMA17834-19|Pan paniscus|COI-5P|KU353709,66,0
GBMNA16784-19|Pan paniscus|COI-5P|GU189669,66,0
GBMA17830-19|Pan paniscus|COI-5P|JN191196,66,0
GBMA17839-19|Pan paniscus|COI-5P|KX211931,66,0
GBMNA16789-19|Pan paniscus|COI-5P|GU189674,66,0
GBMNA16781-19|Pan paniscus|COI-5P|GU189666,66,0
GBMNA16790-19|Pan paniscus|COI-5P|GU189675,66,0
GBMA17835-19|Pan paniscus|COI-5P|KU353710,66,0
GBMA17847-19|Pan paniscus|COI-5P|KX211939,66,0
GBMA17829-19|Pan paniscus|COI-5P|JN191195,66,0
GBMA17844-19|Pan paniscus|COI-5P|KX211936,66,0
GBMA17825-19|Pan paniscus|COI-5P|JN191191,60,0
GBMNA16780-19|Pan paniscus|COI-5P|GU189665,60,0
GBMA17840-19|Pan paniscus|COI-5P|KX211932,60,0
GBMNA16785-19|Pan paniscus|COI-5P|GU189670,60,0
GBMA17843-19|Pan paniscus|COI-5P|KX211935,62,0
GBMNA16777-19|Pan paniscus|COI-5P|GU189662,62,0
GBMA17837-19|Pan paniscus|COI-5P|KX211929,61,0
GBMA17828-19|Pan paniscus|COI-5P|JN191194,61,0
GBMNA16778-19|Pan paniscus|COI-5P|GU189663,61,0
GBMNA16794-19|Pan paniscus|COI-5P|HM015213,59,1
GBMA17836-19|Pan paniscus|COI-5P|KX211928,59,1
GBMNA16773-19|Pan paniscus|COI-5P|GU189658,62,0
GBMNA16792-19|Pan paniscus|COI-5P|GU189677,62,0
GBMNA13234-19|Pan paniscus|COI-5P|KT153251,62,0
GBMA17822-19|Pan paniscus|COI-5P|JN191188,62,0
GBMA17845-19|Pan paniscus|COI-5P|KX211937,62,0
GBMA17831-19|Pan paniscus|COI-5P|JN191197,61,0
GBMNA16779-19|Pan paniscus|COI-5P|GU189664,61,0
GBMNA16791-19|Pan paniscus|COI-5P|GU189676,61,0
GBMNA16775-19|Pan paniscus|COI-5P|GU189660,61,0
GBMNA16772-19|Pan paniscus|COI-5P|GU189657,62,0
GBMNA16786-19|Pan paniscus|COI-5P|GU189671,62,0
GBMA17841-19|Pan paniscus|COI-5P|KX211933,62,0
GBMA17823-19|Pan paniscus|COI-5P|JN191189,62,0
GBMNA16782-19|Pan paniscus|COI-5P|GU189667,62,0
GBMA17360-19|Pan troglodytes verus|COI-5P|JN191233,62,1
GBMA17363-19|Pan troglodytes verus|COI-5P|KU308544,62,1
GTENK002-11|Pan troglodytes|COI-5P,63,1
GBMTG075-16|Pan troglodytes|COI-5P|NC_001643,63,1
GBMA17354-19|Pan troglodytes verus|COI-5P|JN191227,63,1
GBMA17351-19|Pan troglodytes verus|COI-5P|HM068593,63,1
GBMA17370-19|Pan troglodytes verus|COI-5P|KU353715,63,1
GBMA17357-19|Pan troglodytes verus|COI-5P|JN191230,63,1
GBMNA16626-19|Pan troglodytes|COI-5P|X93335,63,1
GBMA17373-19|Pan troglodytes verus|COI-5P|KX211955,63,1
GBMA17352-19|Pan troglodytes verus|COI-5P|JN191225,63,1
GBMA17371-19|Pan troglodytes verus|COI-5P|KU353716,63,1
GBMA17353-19|Pan troglodytes verus|COI-5P|JN191226,63,1
GBMA17359-19|Pan troglodytes verus|COI-5P|JN191232,63,1
